'Ndrangheta 'Ndrangheta NPFSO00
's-Hertogenbosch 's-Hertogenbosch NPCSG00
a a NCFS000
a a ZSPS00
Aalborg Aalborg NPCSG00
Aalen Aalen NPCSG00
aalenià aalenià AQ0MS0
aalenià aalenià NCMS000
aaleniana aalenià AQ0FS0
aalenianes aalenià AQ0FP0
aalenians aalenià AQ0MP0
aalenians aalenià NCMP000
Aalsmeer Aalsmeer NPCSG00
Aalst Aalst NPCSG00
Aarau Aarau NPCSG00
Aare Aare NPCSG00
Aargau Aargau NPCSG00
Aarhus Aarhus NPCSG00
Aaró Aaró NPMSSP0
Aaron Aaron NPMSSP0
Aba Aba NPCSG00
ababol ababol NCMS000
ababols ababol NCMP000
àbac àbac NCMS000
abacà abacà NCMS000
abacallana abacallanar VMIP3S00
abacallana abacallanar VMM02S00
abacallanà abacallanar VMIS3S00
abacallanada abacallanar VMP00SF0
abacallanades abacallanar VMP00PF0
abacallanant abacallanar VMG00000
abacallanar abacallanar VMN00000
abacallanarà abacallanar VMIF3S00
abacallanaran abacallanar VMIF3P00
abacallanaràs abacallanar VMIF2S00
abacallanaré abacallanar VMIF1S00
abacallanarem abacallanar VMIF1P00
abacallanàrem abacallanar VMIS1P00
abacallanaren abacallanar VMIS3P00
abacallanares abacallanar VMIS2S00
abacallanareu abacallanar VMIF2P00
abacallanàreu abacallanar VMIS2P00
abacallanaria abacallanar VMCC1S00
abacallanaríem abacallanar VMCC1P00
abacallanarien abacallanar VMCC3P00
abacallanaries abacallanar VMCC2S00
abacallanaríeu abacallanar VMCC2P00
abacallanat abacallanar VMP00SM0
abacallanats abacallanar VMP00PM0
abacallanava abacallanar VMII1S00
abacallanàvem abacallanar VMII1P00
abacallanaven abacallanar VMII3P00
abacallanaves abacallanar VMII2S00
abacallanàveu abacallanar VMII2P00
abacallanem abacallanar VMIP1P00
abacallanem abacallanar VMM01P00
abacallanem abacallanar VMSP1P00
abacallanen abacallanar VMIP3P00
abacallanes abacallanar VMIP2S00
abacallaneu abacallanar VMIP2P00
abacallaneu abacallanar VMSP2P00
abacallaní abacallanar VMIS1S00
abacàs abacà NCMP000
abacial abacial AQ0CS0
abacials abacial AQ0CP0
abaciologi abaciologi NCMS000
abaciologis abaciologi NCMP000
abacista abacista AQ0CS0
abacista abacista NCCS000
Abaco Abaco NPCSG00
abacomtat abacomtat NCMS000
abacomtats abacomtat NCMP000
abacomte abacomte NCMS000
abacomtes abacomte NCMP000
àbacs àbac NCMP000
Abacus Abacus NPMNO00
Abada Abada NPCNSP0
Abadal Abadal NPCNSP0
abadal abadal AQ0CS0
Abadals Abadals NPCNSP0
abadals abadal AQ0CP0
abadana abadanar VMIP3S00
abadana abadanar VMM02S00
abadanà abadanar VMIS3S00
abadanada abadanar VMP00SF0
abadanades abadanar VMP00PF0
abadanant abadanar VMG00000
abadanar abadanar VMN00000
abadanarà abadanar VMIF3S00
abadanaran abadanar VMIF3P00
abadanaràs abadanar VMIF2S00
abadanaré abadanar VMIF1S00
abadanarem abadanar VMIF1P00
abadanàrem abadanar VMIS1P00
abadanaren abadanar VMIS3P00
abadanares abadanar VMIS2S00
abadanareu abadanar VMIF2P00
abadanàreu abadanar VMIS2P00
abadanaria abadanar VMCC1S00
abadanaríem abadanar VMCC1P00
abadanarien abadanar VMCC3P00
abadanaries abadanar VMCC2S00
abadanaríeu abadanar VMCC2P00
abadanat abadanar VMP00SM0
abadanats abadanar VMP00PM0
abadanava abadanar VMII1S00
abadanàvem abadanar VMII1P00
abadanaven abadanar VMII3P00
abadanaves abadanar VMII2S00
abadanàveu abadanar VMII2P00
abadanem abadanar VMIP1P00
abadanem abadanar VMM01P00
abadanem abadanar VMSP1P00
abadanen abadanar VMIP3P00
abadanes abadanar VMIP2S00
abadaneu abadanar VMIP2P00
abadaneu abadanar VMSP2P00
abadaní abadanar VMIS1S00
abadeget abadeget NCMS000
abadegets abadeget NCMP000
abadejo abadejo NCMS000
