Data,Usuari,Paraula,Codi,Rima,Tipus de rima,Num. síl·,Comença per,Incloure NP,Incloure pl.,Dialecte
03/08/2026 1:46:51,usr_ms0wbtzx_absdx,intento,VMIP1S0C,entu,r.consonant,0,indiferent,no,si,
03/08/2026 1:47:26,usr_ms0wbtzx_absdx,comès,VMP00SM0,ɛs,r.consonant,0,indiferent,no,si,
03/08/2026 1:51:58,usr_ms0wbtzx_absdx,intento,VMIP1S0C,entu,r.consonant,0,indiferent,no,si,
03/08/2026 2:41:37,usr_ms7btuyi_nml4w,vacances,NCFP000,ansəs,r.consonant,0,indiferent,no,si,
03/08/2026 2:44:52,usr_ms7btuyi_nml4w,indomable,AQ0CS0,abblə,r.consonant,0,indiferent,no,si,
03/08/2026 2:46:42,usr_ms7btuyi_nml4w,vacances,NCFP000,ansəs,r.consonant,0,indiferent,no,si,
03/08/2026 2:51:55,usr_ms7btuyi_nml4w,victòries,NCFP000,ɔɾiəs,r.consonant,0,indiferent,no,si,
03/08/2026 11:04:39,usr_msd06ior_b07dl,pasta,NCFS000,astə,r.consonant,0,indiferent,no,si,
03/08/2026 11:06:47,usr_msd06ior_b07dl,vendes,NCFP000,ɛndəs,r.consonant,0,indiferent,no,si,
03/08/2026 11:13:31,usr_msd06ior_b07dl,tub,NCMS000,up,r.consonant,0,indiferent,no,si,
03/08/2026 11:14:00,usr_msd06ior_b07dl,tut,NCMS000,ut,r.consonant,0,indiferent,no,si,
03/08/2026 11:15:33,usr_msd06ior_b07dl,rap,NCMS000,ap,r.consonant,0,indiferent,no,si,
03/08/2026 11:16:36,usr_msd06ior_b07dl,canya,NCFS000,aɲə,r.consonant,0,indiferent,no,si,
03/08/2026 11:27:38,usr_mrvuyes9_ng6ch,versos,NCMP000,ɛrsus,r.consonant,0,indiferent,no,si,
03/08/2026 11:34:49,usr_mrvuyes9_ng6ch,torben,VMIP3P00,orβən,r.consonant,0,indiferent,no,si,
03/08/2026 11:38:07,usr_mrvuyes9_ng6ch,passions,NCFP000,ons,r.consonant,0,indiferent,no,si,
03/08/2026 11:41:59,usr_mrvuyes9_ng6ch,ment,NCFS000,en,r.consonant,0,indiferent,no,si,
03/08/2026 11:45:27,usr_msd1mx4l_f9foe,treballa,VMIP3S00,aʎə,r.consonant,0,indiferent,no,si,
03/08/2026 11:48:17,usr_msd1mx4l_f9foe,desnonat,VMP00SM0,at,r.consonant,0,indiferent,no,si,
03/08/2026 11:48:25,usr_msd1mx4l_f9foe,desnonat,VMP00SM0,at,r.consonant,0,indiferent,no,si,
03/08/2026 11:48:29,usr_msd1mx4l_f9foe,desnonat,VMP00SM0,at,r.consonant,0,indiferent,no,si,
03/08/2026 11:50:51,usr_msd1mx4l_f9foe,desnonat,VMP00SM0,at,r.consonant,3,indiferent,no,si,
